campus_code,admission-completed_total,Admisión Escolar (SAE) Ingreso 2025_admission-completed,Anótate en la Lista 2025_admission-completed,Admision Extraordinaria 2025_admission-completed,admission-completed_with_student_first_name,admission-completed_total_with_student_first_name_pct,admission-completed_with_student_gender,admission-completed_total_with_student_gender_pct,admission-completed_with_legalguardian_first_name,admission-completed_total_with_legalguardian_first_name_pct,admission-completed_with_legalguardian_cellphone,admission-completed_total_with_legalguardian_cellphone_pct,admission-completed_with_legalguardian_email,admission-completed_total_with_legalguardian_email_pct,admission-completed_with_legalguardian_id_number,admission-completed_total_with_legalguardian_id_number_pct,admission-completed_with_Dirección Apoderado,admission-completed_total_with_Dirección Apoderado_pct,admission-completed_with_Ciudad Apoderado,admission-completed_total_with_Ciudad Apoderado_pct,admission-completed_with_Fecha de Nacimiento estudiante,admission-completed_total_with_Fecha de Nacimiento estudiante_pct,nombre_colegio,colegio_notificado_colaboracion,colegio_firmo_compromisos,colegio_envio_base,napsis
958300001,358,267,53,38.0,356,99,267,75,102,28,98,27,98,27,53,15,6,2,6,2,6,2,Centro Educacional Mariano Latorre,0,0,0,1
959100001,231,184,10,37.0,231,100,182,79,22,10,19,8,19,8,10,4,0,0,0,0,0,0,Liceo Parque La Américas,0,0,0,1
959500001,320,282,36,2.0,319,100,265,83,59,18,53,17,53,17,36,11,10,3,10,3,10,3,Escuela Capitán Ávalos,0,0,0,1
959700001,133,117,2,14.0,132,99,111,83,5,4,3,2,3,2,2,2,3,2,2,2,2,2,Escuela Pablo De Rokha,0,0,0,1
959800001,254,209,45,,254,100,201,79,58,23,39,15,50,20,40,16,15,6,14,6,16,6,Escuela Violeta Parra,0,0,0,1
960200001,315,265,32,18.0,314,100,255,81,63,20,58,18,57,18,33,10,33,10,32,10,34,11,Colegio Neruda,0,0,1,1
960400001,454,384,66,4.0,454,100,364,80,103,23,74,16,85,19,66,15,16,4,16,4,16,4,Liceo Centro Educacional La Pintana,0,0,0,1
961600001,360,302,54,4.0,360,100,285,79,76,21,68,19,72,20,54,15,6,2,6,2,6,2,Liceo Victor Jara,0,0,0,1
962000001,269,198,3,68.0,268,100,191,71,9,3,4,1,4,1,3,1,1,0,1,0,1,0,Escuela Juan de Dios Aldea,0,0,0,1
968700001,367,289,62,16.0,365,99,272,74,166,45,151,41,150,41,62,17,58,16,55,15,58,16,Liceo Christa Mc Auliffe,0,0,0,0
968800001,446,314,81,51.0,444,100,296,66,143,32,133,30,134,30,79,18,54,12,54,12,54,12,Liceo Juan Gómez Millas,0,0,0,0
969800001,314,249,45,20.0,314,100,234,75,61,19,58,18,58,18,45,14,12,4,12,4,12,4,Escuela Aviadores,0,0,0,0
970200001,237,173,51,13.0,237,100,165,70,71,30,69,29,68,29,51,22,5,2,5,2,5,2,Escuela Mario Arce Gatica,0,0,0,0
971300001,142,98,6,38.0,140,99,89,63,17,12,7,5,8,6,5,4,3,2,3,2,3,2,Complejo Educacional Felipe Herrera Lane,0,0,0,0
971400001,385,332,45,8.0,385,100,317,82,83,22,81,21,80,21,45,12,6,2,6,2,7,2,Escuela Basica Jose Martí,0,0,0,0
971500001,214,167,12,35.0,214,100,150,70,34,16,33,15,33,15,12,6,8,4,8,4,8,4,Escuela Basica Villa Santa Elena,0,0,1,0
971700001,281,226,47,8.0,281,100,206,73,79,28,58,21,57,20,47,17,9,3,9,3,9,3,Escuela Ciudad De Lyon,0,0,0,0
971800001,240,218,16,6.0,240,100,209,87,39,16,30,12,34,14,16,7,8,3,8,3,8,3,Escuela Paul Harris,0,0,0,0
972100001,261,214,15,32.0,261,100,202,77,29,11,21,8,25,10,15,6,5,2,5,2,5,2,Escuela Nemesio Antúnez,0,0,0,0
1054200001,695,526,156,13.0,693,100,474,68,221,32,184,26,212,31,135,19,50,7,50,7,51,7,Centro Educacional Baldomero Lillo,0,0,0,0
1054300001,422,358,52,12.0,422,100,340,81,160,38,128,30,151,36,51,12,8,2,8,2,9,2,Liceo Fidel Pinochet Le-Brun,0,0,0,0
1054400001,937,714,173,50.0,933,100,671,72,368,39,344,37,348,37,173,18,58,6,58,6,58,6,Liceo Elvira Brady Maldonado,0,0,0,0
1054500001,388,328,19,41.0,388,100,318,82,108,28,104,27,103,27,19,5,1,0,1,0,1,0,Liceo Industrial Miguel Aylwin Gajardo,0,0,0,0
1054600001,365,312,50,3.0,361,99,294,81,102,28,70,19,75,21,46,13,17,5,17,5,17,5,Escuela Pilar Moliner de Nuez,0,0,0,0
1054700001,171,145,22,4.0,171,100,138,81,41,24,30,18,30,18,22,13,7,4,7,4,7,4,Escuela República del Brasil,0,0,0,0
1054800001,221,180,24,17.0,218,99,172,78,59,27,38,17,40,18,22,10,5,2,5,2,5,2,Escuela Isabel Riquelme,0,0,0,0
1055000001,243,188,55,,243,100,161,66,70,29,67,28,66,27,55,23,16,7,16,7,16,7,Escuela General Bernardo O´Higgins,0,0,0,0
1055100001,317,257,56,4.0,316,100,237,75,122,38,115,36,116,37,56,18,32,10,32,10,32,10,Liceo Polivalente Lucila Godoy Alcayaga,0,0,0,0
1055300001,451,388,47,16.0,450,100,363,80,90,20,77,17,82,18,46,10,14,3,14,3,14,3,Escuela Marcial Martínez Ferrari,0,0,0,0
1055400001,268,223,14,31.0,268,100,206,77,37,14,31,12,32,12,14,5,1,0,1,0,1,0,Escuela General René Schneider Chereau,0,0,0,0
1055500001,339,307,27,5.0,338,100,287,85,72,21,67,20,67,20,27,8,16,5,16,5,16,5,Escuela el Bosque,0,0,0,0
1055600001,230,197,28,5.0,229,100,191,83,49,21,37,16,43,19,27,12,7,3,7,3,7,3,Escuela Alemania,0,0,0,0
1055700001,307,272,35,,307,100,256,83,67,22,47,15,59,19,35,11,5,2,5,2,5,2,Escuela General Alberto A. Bachelet Martínez,0,0,0,0
1055800001,210,150,28,32.0,209,100,140,67,39,19,33,16,35,17,27,13,5,2,5,2,5,2,Escuela Republica de los EEUU de América,0,0,0,0
1055900001,237,206,25,6.0,236,100,187,79,61,26,38,16,44,19,24,10,5,2,5,2,5,2,Escuela Bernardo Leighton,0,0,0,0
1056000001,283,228,50,5.0,283,100,232,82,78,28,74,26,72,25,55,19,34,12,17,6,36,13,Escuela Javiera Carrera Verdugo,0,0,0,0
1056100001,229,192,37,,229,100,169,74,52,23,49,21,48,21,37,16,4,2,4,2,4,2,Escuela Claudio Arrau León,0,0,0,0
1056300001,161,134,13,14.0,160,99,126,78,29,18,19,12,21,13,12,7,5,3,5,3,5,3,Escuela Manuel Magallanes Moure,0,0,0,0
